,Q_0,Q_1,H_1,Q_2,H_2,Q_3,H_3,Q_4,H_4,Q_5,H_5,Q_6,H_6,Q_7,H_7,Q_8,H_8,Q_9,H_9,Q_10,H_10,Q_11,H_11,Q_12,H_12,Q_13,H_13,Q_14,H_14,Q_15,H_15,Q_16,H_16
0,100.0,100.0,0.0,100.0,-0.017333333333333333,100.0,-0.034666666666666665,100.0,-0.052,100.0,-0.06933333333333333,100.0,-0.08666666666666667,100.0,-0.104,100.0,-0.12133333333333332,100.0,-0.13866666666666666,100.0,-0.156,100.0,-0.17333333333333334,100.0,-0.19066666666666665,100.0,-0.208,100.0,-0.22533333333333333,100.0,-0.24266666666666664,100.0,-0.26
1,100.0,100.06797624990061,-0.0012230632893982089,100.06820824186757,-0.01733542038557433,99.93765394844544,-0.03349217442564643,99.66571831637114,-0.04955362101419196,99.2249580514714,-0.06536819162769035,98.56774820605266,-0.08075433135218968,97.62052405569784,-0.09547868580469299,96.27489528354938,-0.10922796362468506,94.37455016496118,-0.12157106145902942,91.69635525728073,-0.13190684240660067,87.92334837717611,-0.13939119842085007,82.60633260559072,-0.14283448462368253,75.10938510981032,-0.14055677471073658,64.53262530817958,-0.13018320186833127,49.60279984500863,-0.10835427762452404,39.060546486027796,-0.07031560926659822
2,100.0,99.65636619333162,0.00495978237873993,98.91975249035521,-0.010708660519579947,98.04010940254868,-0.02557870439997006,96.93313221653001,-0.039595020433529506,95.51543525289404,-0.05261430865881937,93.69961054463107,-0.06441882579087352,91.39291628156566,-0.07472722450511343,88.50068688773575,-0.08320888996673935,84.93685606075863,-0.08951005147691671,80.64585780415692,-0.09330391864379625,75.6429660209088,-0.0943836273149012,70.08431250261059,-0.09282669244716436,64.38394351959728,-0.08927349895007823,59.403853094893165,-0.08537929794685487,56.75402840608744,-0.08451447742092391,58.00291797993632,-0.09278788120066442
3,100.0,99.11896206276577,0.020812021585310425,97.29112584421426,0.005735147084241985,95.33205828452766,-0.007954319922030105,93.17511869430433,-0.020190526205629326,90.76218867303976,-0.030906835619383975,88.05275508778473,-0.04004387816995573,85.03443283842242,-0.04757334364688983,81.73614495974618,-0.053536228358365925,78.244126152048,-0.0580943546340313,74.71914220038049,-0.06159145662856877,71.41009939955266,-0.0646136620509591,68.6535317159793,-0.06802690240975673,66.83897983080973,-0.07294853851687835,66.30563331137951,-0.08058091160275774,67.1150448141317,-0.0917965859880546,67.867304882912,-0.10632374833681503
4,100.0,98.69605427898588,0.04427383497571066,96.02886267070238,0.029730413759169107,93.2949988775836,0.016640744617884944,90.49588314749245,0.004991583825700729,87.64825200944986,-0.005288223184966888,84.79136337090529,-0.014341920006428128,81.99305910959175,-0.022398357001130492,79.35270695291099,-0.02978216527165509,76.9984937069489,-0.036914459207279024,75.07596930664396,-0.04429520757240207,73.72475708566976,-0.05245724412027281,73.04197940251021,-0.06188414866804817,73.03578633839152,-0.07289282114078943,73.58257421733693,-0.08550022632716933,74.41958393406958,-0.09932695438305897,74.82646261512923,-0.11364491201442857
5,100.0,98.58273741081514,0.06977497803785664,95.7181899098326,0.05550162326158789,92.8731785067626,0.042236183885223565,90.10498150828224,0.02989596285108938,87.47931817884741,0.018333861580546534,85.06919837338098,0.007341038393566955,82.95111839185576,-0.0033427333844516143,81.1978730792879,-0.014008795067666174,79.86783742935769,-0.024948539568814158,78.9917113086769,-0.03641295580086593,78.55938821648807,-0.04856775313067383,78.51153586992962,-0.061453633998485635,78.74195161445152,-0.07496580983171817,79.11641588797985,-0.08886917937438796,79.50934889734901,-0.10286206238386673,79.67831225172691,-0.11668514066421203
6,100.0,98.77759474153858,0.09177034904548367,96.33378952334928,0.07748792472921259,93.95896745235906,0.06360184653720533,91.72147559131929,0.050026095070596195,89.68605201939359,0.036646038370434925,87.90881126025643,0.02333041515418866,86.43154654038663,0.009947840362275386,85.27612798146785,-0.003613786490510995,84.4401967491959,-0.017427877059211658,83.89565371558088,-0.03151384029878862,83.59140482215207,-0.045830504331323386,83.46121202895269,-0.06028232391034102,83.43613288482217,-0.0747401796290463,83.45893837796852,-0.08907435394523558,83.49552173746285,-0.10319119218811779,83.51627056913958,-0.11705848269800645
7,100.0,99.12841619058267,0.10745339456988391,97.40351635493383,0.09300659947469947,95.74637267111042,0.07851091326407474,94.20225539765713,0.06391826683350875,92.80831822523592,0.04918705199883264,91.59018689036968,0.03428972276893132,90.55959959696753,0.019219838030208134,89.71367532578323,0.003996824023978106,89.0362469447175,-0.011333198186247445,88.50137149636731,-0.026701686627837916,88.07863708760807,-0.04202726392551766,87.73930709736797,-0.057229457679453866,87.4618401323957,-0.07224388301363324,87.235147487056,-0.08703486312563997,87.05841825954872,-0.10160121027497789,86.99807097869284,-0.11597262966512988
8,100.0,99.47216888095309,0.11695111974563789,98.43741139393802,0.10231623440045372,97.44395666955802,0.0874489384584297,96.50824576960225,0.07233676376334969,95.64136031265583,0.056986321144034,94.84837356847997,0.04142412162471419,94.12864159780932,0.025695161531331175,93.47706034796276,0.009858994346694475,92.88611446817079,-0.0060165647629042964,92.34833908998355,-0.021863428101946896,91.85865964600991,-0.03762172349554334,91.41603014615647,-0.05324722286020234,91.02391520828412,-0.06871612217878618,90.68948090916676,-0.08402604563333564,90.4218214944314,-0.0991931525543604,90.32589365230876,-0.11424655962098401
9,100.0,99.72437133581731,0.12191076806695716,99.1890995368331,0.10713205493496966,98.67034928655008,0.09211610836166437,98.16682514283684,0.07686693779749629,97.67584350608995,0.061403643242693595,97.19408835449534,0.04575842555200509,96.71860082443023,0.029973067708875346,96.24784839431754,0.014094290579487728,95.78266604136516,-0.0018313906238290418,95.3268511431666,-0.017762540216674845,94.8872402680696,-0.03366662870552115,94.47320114289738,-0.04952219985073933,94.09561957116811,-0.06531910689709042,93.76560700613784,-0.08105700360592613,93.49323697874259,-0.09674271090355477,93.3899071747178,-0.11238730079467225
